US_Failure_Rate
0
0.0159
0.03085832
0.04824953
0.06535088
0.0862767
0.10913905
0.1360864
0.1658848
0.20330902
0.24975298
0.30675316
0.37366443
0.45193778
0.5404669
0.63895647
0.74505414
0.85620039
0.9734795
