Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Europe,9.94221E-05,0.000657142,0.002276086,0.003613614,0.005312344,0.01029366,0.011008586,0.014844979,0.019896959,0.02844102
China,5.86931E-05,0.000225288,0.000546839,0.000597415,0.002693199,0.007671599,0.013207952,0.022396053,0.041303013,0.046336302
US,7.12695E-05,0.001407142,0.003714408,0.006042456,0.007091594,0.006492292,0.008861525,0.011516239,0.020409231,0.018297135
RoW,0.000102095,0.000574477,0.000851681,0.001193892,0.001445387,0.0016298,0.001691743,0.003949015,0.005430261,0.006169676
,,,,,,,,,,
