Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Europe,57726.7,248979.6,676760.8,1346685.8,2317150.45,4303329.7,4754481.55,7757133.4,11518755.81,23984868.94
China,24629,105192.1,292043.1,357424,1556440.6,4418309.2,11138821.6,18954601.4,39947142.36,50072212.1
US,24096.4,388965.2,984213.5,2567474.05,2955005.8,3669543.7,5854435.5,7730858.5,19087221.78,16625943.22
RoW,56696,323715.2,405029.2,564691.8,688214.95,975831.65,1076954.85,2412644.65,3995829.78,5334407.48
Global,163148.1,1066852.1,2358046.6,4836275.65,7516811.8,13367014.25,22824693.5,36855237.95,74548949.73,96017431.74
